timestamp,X,Y,Z
2009-10-02T02:08:19.313843,+2219.001580,+4888.289457,+3897.726797
2009-10-02T02:09:59.313843,+2528.637870,+5200.863622,+3251.905902
2009-10-02T02:11:39.313842,+2807.958211,+5438.533836,+2561.633471
2009-10-02T02:13:19.313842,+3052.040680,+5598.517911,+1836.330057
2009-10-02T02:14:59.313842,+3256.412124,+5679.165014,+1085.906320
2009-10-02T02:16:39.313841,+3417.127594,+5679.974121,+320.625042
2009-10-02T02:18:19.313841,+3530.843211,+5601.595610,-449.043596
2009-10-02T02:19:59.313841,+3594.879751,+5445.812612,-1212.570747
2009-10-02T02:21:39.313840,+3607.275401,+5215.505922,-1959.517330
2009-10-02T02:23:19.313840,+3566.827895,+4914.601453,-2679.682116
2009-10-02T02:24:59.313840,+3473.123665,+4548.001089,-3363.245111
2009-10-02T02:26:39.313840,+3326.553783,+4121.498820,-4000.903993
2009-10-02T02:28:19.313839,+3128.317575,+3641.685242,-4584.000052
2009-10-02T02:29:59.313839,+2880.413500,+3115.842556,-5104.635838
2009-10-02T02:31:39.313839,+2585.617476,+2551.829117,-5555.778885
2009-10-02T02:33:19.313838,+2247.449729,+1957.959195,-5931.352228
2009-10-02T02:34:59.313838,+1870.129900,+1342.878285,-6226.311078
2009-10-02T02:36:39.313838,+1458.523222,+715.436697,-6436.703777
2009-10-02T02:38:19.313837,+1018.078164,+84.563808,-6559.719727
2009-10-02T02:39:59.313837,+554.753324,-540.857492,-6593.724072
2009-10-02T02:41:39.313837,+74.937258,-1152.113907,-6538.274935
2009-10-02T02:43:19.313836,-414.637230,-1740.779584,-6394.127284
2009-10-02T02:44:59.313836,-906.985169,-2298.828745,-6163.224410
2009-10-02T02:46:39.313836,-1394.967640,-2818.744189,-5848.674133
2009-10-02T02:48:19.313835,-1871.392829,-3293.617209,-5454.709743
2009-10-02T02:49:59.313835,-2329.119693,-3717.239156,-4986.638444
2009-10-02T02:51:39.313835,-2761.164767,-4084.185063,-4450.776146
2009-10-02T02:53:19.313835,-3160.809313,-4389.885980,-3854.366199
2009-10-02T02:54:59.313834,-3521.704062,-4630.688754,-3205.485346
2009-10-02T02:56:39.313834,-3837.971213,-4803.903364,-2512.937621
2009-10-02T02:58:19.313834,-4104.301691,-4907.835687,-1786.136179
2009-10-02T02:59:59.313833,-4316.045314,-4941.805656,-1034.975243
2009-10-02T03:01:39.313833,-4469.292186,-4906.149683,-269.693602
2009-10-02T03:03:19.313833,-4560.943261,-4802.207692,+499.268006
2009-10-02T03:04:59.313832,-4588.769192,-4632.294274,+1261.413672
2009-10-02T03:06:39.313832,-4551.455168,-4399.653816,+2006.340696
2009-10-02T03:08:19.313832,-4448.631139,-4108.401301,+2723.885513
2009-10-02T03:09:59.313831,-4280.887442,-3763.450047,+3404.265475
2009-10-02T03:11:39.313831,-4049.775760,-3370.428329,+4038.214316
2009-10-02T03:13:19.313831,-3757.794505,-2935.585425,+4617.109893
2009-10-02T03:14:59.313830,-3408.359365,-2465.689622,+5133.089442
2009-10-02T03:16:39.313830,-3005.761359,-1967.921804,+5579.153457
2009-10-02T03:18:19.313830,-2555.112204,-1449.765548,+5949.258155
2009-10-02T03:19:59.313829,-2062.277393,-918.893535,+6238.394367
2009-10-02T03:21:39.313829,-1533.798045,-383.052559,+6442.652095
2009-10-02T03:23:19.313829,-976.802027,+150.048369,+6559.267636
2009-10-02T03:24:59.313829,-398.909641,+672.846182,+6586.658061
2009-10-02T03:26:39.313828,+191.869082,+1178.030125,+6524.441772
2009-10-02T03:28:19.313828,+787.243726,+1658.642740,+6373.444521
2009-10-02T03:29:59.313828,+1378.758742,+2108.175382,+6135.689258
2009-10-02T03:31:39.313827,+1957.911551,+2520.655233,+5814.371352
2009-10-02T03:33:19.313827,+2516.273494,+2890.724678,+5413.820374
2009-10-02T03:34:59.313827,+3045.613030,+3213.712877,+4939.447438
2009-10-02T03:36:39.313826,+3538.019302,+3485.697376,+4397.675426
2009-10-02T03:38:19.313826,+3986.019543,+3703.552554,+3795.854604
2009-10-02T03:39:59.313826,+4382.696954,+3864.989991,+3142.171074
2009-10-02T03:41:39.313825,+4721.802639,+3968.584351,+2445.532179
2009-10-02T03:43:19.313825,+4997.855635,+4013.785044,+1715.446664
2009-10-02T03:44:59.313825,+5206.236095,+4000.914832,+961.892689
2009-10-02T03:46:39.313824,+5343.264027,+3931.154508,+195.177844
2009-10-02T03:48:19.313824,+5406.264552,+3806.513718,-574.207305
2009-10-02T03:49:59.313824,+5393.616552,+3629.788233,-1335.737735
2009-10-02T03:51:39.313824,+5304.785489,+3404.504602,-2079.003411
2009-10-02T03:53:19.313823,+5140.337929,+3134.853474,-2793.856025
2009-10-02T03:54:59.313823,+4901.939530,+2825.613599,-3470.550366
2009-10-02T03:56:39.313823,+4592.336933,+2482.068564,-4099.879582
2009-10-02T03:58:19.313822,+4215.320831,+2109.915349,-4673.302370
2009-10-02T03:59:59.313822,+3775.674549,+1715.168153,-5183.055763
2009-10-02T04:01:39.313822,+3279.108339,+1304.060880,-5622.256898
2009-10-02T04:03:19.313821,+2732.181142,+882.948756,-5984.991964
2009-10-02T04:04:59.313821,+2142.209670,+458.210099,-6266.390161
2009-10-02T04:06:39.313821,+1517.168652,+36.151319,-6462.682484
2009-10-02T04:08:19.313820,+865.584342,-377.084914,-6571.248259
2009-10-02T04:09:59.313820,+196.416892,-775.607888,-6590.646442
2009-10-02T04:11:39.313820,-481.060288,-1153.860733,-6520.630414
2009-10-02T04:13:19.313819,-1157.385647,-1506.695397,-6362.150499
2009-10-02T04:14:59.313819,-1823.039477,-1829.441038,-6117.342810
2009-10-02T04:16:39.313819,-2468.575462,-2117.965229,-5789.502078
2009-10-02T04:18:19.313819,-3084.751598,-2368.725649,-5383.040927
2009-10-02T04:19:59.313818,-3662.661411,-2578.814458,-4903.436773
2009-10-02T04:21:39.313818,-4193.864658,-2745.993062,-4357.163187
2009-10-02T04:23:19.313818,-4670.511996,-2868.716371,-3751.606607
2009-10-02T04:24:59.313817,-5085.463978,-2946.146478,-3094.970635
2009-10-02T04:26:39.313817,-5432.402157,-2978.155563,-2396.167753
2009-10-02T04:28:19.313817,-5705.929726,-2965.317516,-1664.699014
2009-10-02T04:29:59.313816,-5901.659056,-2908.888444,-910.524681
2009-10-02T04:31:39.313816,-6016.285554,-2810.776181,-143.926252
2009-10-02T04:33:19.313816,-6047.645067,-2673.498992,+624.636374
2009-10-02T04:34:59.313815,-5994.754856,-2500.135135,+1384.672006
2009-10-02T04:36:39.313815,-5857.834929,-2294.263135,+2125.806997
2009-10-02T04:38:19.313815,-5638.309212,-2059.893995,+2837.930324
2009-10-02T04:39:59.313814,-5338.791340,-1801.397957,+3511.333860
2009-10-02T04:41:39.313814,-4963.049652,-1523.426258,+4136.848878
2009-10-02T04:43:19.313814,-4515.953708,-1230.829117,+4705.970220
2009-10-02T04:44:59.313814,-4003.407039,-928.573241,+5210.969395
2009-10-02T04:46:39.313813,-3432.266151,-621.659739,+5644.997512
2009-10-02T04:48:19.313813,-2810.245159,-315.042248,+6002.175821
2009-10-02T04:49:59.313813,-2145.808098,-13.547917,+6277.671758
2009-10-02T04:51:39.313812,-1448.051430,+278.196339,+6467.759105
2009-10-02T04:53:19.313812,-726.579835,+555.832973,+6569.864798
2009-10-02T04:54:59.313812,+8.624799,+815.337704,+6582.601330
2009-10-02T04:56:39.313811,+747.339342,+1053.076841,+6505.784088
2009-10-02T04:58:19.313811,+1479.239374,+1265.858067,+6340.435235
2009-10-02T04:59:59.313811,+2194.041839,+1450.973417,+6088.770878
2009-10-02T05:01:39.313810,+2881.647451,+1606.233433,+5754.174739
2009-10-02T05:03:19.313810,+3532.284167,+1729.993155,+5341.157526
2009-10-02T05:04:59.313810,+4136.646841,+1821.168937,+4855.299467
2009-10-02T05:06:39.313809,+4686.031463,+1879.246870,+4303.180330
2009-10-02T05:08:19.313809,+5172.465674,+1904.282891,+3692.296632
2009-10-02T05:09:59.313809,+5588.831876,+1896.891275,+3030.959595
2009-10-02T05:11:39.313809,+5928.973201,+1858.224936,+2328.183155
2009-10-02T05:13:19.313808,+6187.792416,+1789.947043,+1593.562648
2009-10-02T05:14:59.313808,+6361.334162,+1694.193086,+837.139895
2009-10-02T05:16:39.313808,+6446.847519,+1573.524584,+69.262588
2009-10-02T05:18:19.313807,+6442.833333,+1430.877354,-699.562234
2009-10-02T05:19:59.313807,+6349.068798,+1269.502427,-1458.818211
